Time,MV1,MV2,MV3,MV4
1696985959.5049026,27248.430252075195,-1129.287481,27226.102352142334,-3014.76717
1696985959.5562172,27248.460054397583,-1350.295544,27226.048707962036,-3184.950352
1696985959.556267,27248.501777648926,-1100.754738,27226.01890563965,-2965.039015
1696985959.5562942,27248.555421829224,-1618.093252,27226.001024246216,-3372.198343
1696985959.5563157,27248.51965904236,-975.4955769,27225.971221923828,-2884.572744
1696985959.556332,27248.41833114624,-1297.539473,27225.99506378174,-3113.114834
1696985960,27248.448133468628,-966.1257267,27226.054668426514,-2854.347229
1696985959.5563717,27248.507738113403,-1687.073708,27226.072549819946,-3402.233124
1696985959.5563831,27248.573303222656,-1108.628511,27226.120233535767,-2997.010946
1696985959.5563948,27248.507738113403,-1472.979784,27226.11427307129,-3246.492147
1696985959.5564096,27248.471975326538,-1128.476858,27226.144075393677,-2999.466658
1696985959.5564213,27248.448133468628,-1810.479164,27226.18579864502,-3493.475914
1696985959.556433,27248.49581718445,-1328.015327,27226.32884979248,-3176.438808
1696985959.604958,27248.477935791016,-1541.727781,27226.364612579346,-3295.624256
1696985959.6050043,27248.471975326538,-1260.4177,27226.340770721436,-3107.655048
1696985959.6050203,27248.51369857788,-1790.606976,27226.38249397278,-3470.432758
1696985959.6050313,27248.579263687134,-1532.447338,27226.299047470093,-3332.978487
1696985959.605042,27248.626947402954,-1522.958279,27226.25732421875,-3281.104565
1696985959.6050527,27248.56734275818,-1368.701458,27226.215600967407,-3191.578388
1696985960,27248.51965904236,-1625.293493,27226.293087005615,-3339.761496
1696985959.605084,27248.54350090027,-1576.519012,27226.221561431885,-3354.537487
1696985959.6051106,27248.680591583252,-1253.592968,27226.173877716064,-3065.258265
1696985959.605137,27248.620986938477,-1240.873337,27226.102352142334,-3069.907427
1696985959.6051676,27248.49581718445,-1234.287024,27226.04274749756,-3018.921614
1696985959.6051972,27248.53754043579,-1517.510414,27226.03678703308,-3273.576498
1696985959.6372683,27248.692512512207,-1038.295031,27226.054668426514,-2886.289358
1696985959.6373012,27248.668670654297,-1268.857718,27226.04274749756,-3068.470955
1696985959.6373136,27248.60906600952,-1066.809893,27226.030826568604,-2888.309956
1696985959.6373253,27248.58522415161,-1596.683264,27225.947380065918,-3313.50565
1696985959.637337,27248.48985671997,-982.1236134,27225.953340530396,-2851.265669
1696985959.6373491,27248.352766036987,-1309.216022,27225.84605,-3090.918064
1696985959.6373608,27248.26932,-972.7656841,27225.732803344727,-2830.547094
1696985959.637372,27248.281240463257,-1661.151648,27225.69704055786,-3354.173899
1696985959.6373844,27248.400449752808,-1075.601578,27225.637435913086,-2940.34481
1696985959.6373992,27248.352766036987,-1450.72341,27225.62551498413,-3198.951483
1696985959.6374114,27248.22759628296,-1126.354933,27225.72684288025,-2965.87348
1696985959.6961493,27248.15607070923,-1847.040653,27225.75068473816,-3493.767977
1696985959.6961615,27248.19779396057,-1371.115446,27225.75068473816,-3183.102608
1696985959.6961734,27248.24547767639,-1604.46763,27225.786447525024,-3320.175409
1696985959.696185,27248.162031173706,-1304.471493,27225.840091705322,-3115.516901
1696985959.6961963,27248.162031173706,-1841.461658,27225.863933563232,-3483.009338
1696985959.6962087,27248.287200927734,-1539.069414,27225.977182388306,-3308.665752
1696985959.6962202,27248.305082321167,-1528.084278,27226.04274749756,-3251.844645
1696985959.6962316,27248.293161392212,-1329.058409,27226.08447,-3124.719858
1696985959.6962452,27248.32296,-1601.243019,27226.030826568604,-3280.264139
1696985959.6962569,27248.352766036987,-1549.041271,27226.01890563965,-3291.708231
1696985959.696268,27248.34680557251,-1275.527477,27226.078510284424,-3037.834167
1696985959.6963165,27248.32296,-1281.243563,27226.048707962036,-3058.665991
1696985959.7284627,27248.317003250122,-1312.971115,27225.96526145935,-3036.123514
1696985959.7284815,27248.37064743042,-1565.891504,27225.923538208008,-3268.700838
1696985959.7284997,27248.412370681763,-1089.137793,27225.857973098755,-2880.614996
1696985959.7285116,27248.41833114624,-1290.911436,27225.852012634277,-3042.173386
1696985959.7285233,27248.376607894897,-1109.194756,27225.89373588562,-2876.633406
1696985959.728559,27248.32296,-1608.741283,27225.834131240845,-3282.725811
1696985959.7285695,27248.305082321167,-951.1590004,27225.834131240845,-2782.839537
