Time,MV1,MV2,MV3,MV4
1698362847.993739,-201.7557621,-243.5207367,-97.2032547,4264.187812805176
1698362847.9937654,-277.9781818,-321.5193748,-167.1254635,4188.358783721924
1698362847.9937763,-221.1987972,-265.2704716,-127.4824142,4242.265224456787
1698362847.993786,-482.6962948,-531.4350128,-344.4671631,3992.629051208496
1698362847.9937952,-621.9208241,-670.260191,-473.1535912,3854.936361312866
1698362847.9938047,-891.5662766,-945.3594685,-711.8999958,3586.8585109710693
1698362847.9938145,-949.0132332,-1007.10988,-781.9712162,3519.5767879486084
1698362847.9938235,-1262.336969,-1321.411133,-1039.236784,3220.921754837036
1698362847.9938328,-1420.539618,-1481.002569,-1186.537743,3059.607744216919
1698362847.9938436,-1638.060808,-1706.403494,-1377.284527,2840.399742126465
1698362847.9938526,-1630.7652,-1704.061031,-1390.945911,2833.6822986602783
1698362847.993862,-1801.276207,-1875.537634,-1522.481441,2675.1816272735596
1698362848.0423567,-1880.121231,-1955.747604,-1596.361399,2592.2417640686035
1698362848.0423791,-1964.360476,-2044.24262,-1665.991545,2506.762742996216
1698362848.0423892,-1871.532202,-1951.169968,-1598.334312,2588.5462760925293
1698362848.0423987,-1869.249344,-1945.054531,-1575.571299,2602.940797805786
1698362848.042409,-1868.408918,-1942.187548,-1570.057869,2605.4441928863525
1698362848.0424187,-1816.46347,-1887.238026,-1512.229443,2661.651372909546
1698362848.0424283,-1660.603285,-1729.959249,-1384.460926,2808.821201324463
1698362848.0424376,-1463.29999,-1526.886225,-1198.30966,3012.3770236968994
1698362848.0424469,-1364.74967,-1424.729824,-1104.134321,3114.0387058258057
1698362848.042456,-1142.811775,-1198.941469,-906.3780308,3334.301710128784
1698362848.042465,-929.1708469,-981.2057018,-725.2693176,3542.31596
1698362848.0813031,-611.0429764,-658.7505341,-445.6758499,3859.2755794525146
1698362848.0813131,-525.9871483,-571.2807178,-360.3219986,3950.3157138824463
1698362848.081323,-318.1517124,-359.994173,-181.2815666,4155.290126800537
1698362848.081332,-234.7111702,-275.439024,-111.6871834,4236.841201782227
1698362848.081376,-23.56767654,-61.26761436,64.03326988220215,4444.652795791626
1698362848.0813856,-146.9969749,-186.5148544,-31.79311752,4332.363605499268
1698362848.0813959,-169.1997051,-210.6368542,-61.16628647,4306.119680404663
1698362848.0814047,-345.0393677,-392.0376301,-219.2437649,4129.1773319244385
1698362848.081414,-355.6966782,-404.4234753,-246.489048,4110.598564147949
1698362848.0814233,-672.7933884,-725.8236408,-510.5555058,3805.2260875701904
1698362848.081432,-884.0918541,-940.823555,-707.0541382,3590.1546478271484
1698362848.081441,-1214.140654,-1278.3885,-997.9248047,3261.291980743408
1698362848.128513,-1343.131065,-1410.460472,-1133.424044,3122.1091747283936
1698362848.128527,-1655.453444,-1727.992296,-1396.244764,2819.2877769470215
1698362848.1285367,-1869.136095,-1943.49885,-1592.129469,2602.5474071502686
1698362848.1285484,-2106.595039,-2185.964584,-1796.621084,2365.6904697418213
1698362848.1285577,-2149.832249,-2232.253551,-1852.279902,2309.5428943634033
1698362848.128567,-2263.218164,-2340.441942,-1930.099726,2210.819721221924
1698362848.1285763,-2324.62883,-2401.417494,-1982.581615,2148.8189697265625
1698362848.1285856,-2284.872532,-2357.86438,-1937.675476,2192.2171115875244
1698362848.128595,-2095.490694,-2166.27121,-1781.755686,2371.591329574585
1698362848.1286044,-1858.502626,-1919.740438,-1556.938887,2617.466449737549
1698362848.1286137,-1718.646288,-1774.62101,-1423.293352,2760.6070041656494
1698362848.1787205,-1451.951265,-1500.8986,-1181.995869,3026.4437198638916
1698362848.1787305,-1168.435812,-1212.048531,-937.7062321,3302.5920391082764
1698362848,-773.9424706,-812.2205734,-588.6316299,3694.385290145874
1698362848.1787505,-616.3299084,-650.6085396,-437.3192787,3857.409954071045
1698362848.1787596,-350.4037857,-377.3212433,-203.0074596,4122.734069824219
1698362848.1787689,-208.8785172,-233.4833145,-81.73584938,4261.791706085205
1698362848.1787791,54.93164063,34.040212631225586,141.71600341796875,4521.608352661133
1698362848.1787884,-12.76731491,-34.63029861,94.31242942810059,4463.231563568115
1698362848.1787972,-2.151727676,-22.16696739,97.72777557373047,4474.389553070068
1698362848.1788063,-163.2153988,-187.8559589,-45.59159279,4315.012693405151
