Time,MV1,MV2,MV3,MV4
1697046069,-326.281786,-259.9596977,-214.3383026,-326.4784813
1697046069.237398,-368.7381744,-302.5889397,-251.6448498,-356.9722176
1697046069.2374127,-666.5289402,-595.1821804,-516.6590214,-613.4927273
1697046069.237425,-841.6712284,-769.674778,-689.5422935,-781.4347744
1697046069.2374368,-575.709343,-507.4083805,-458.6040974,-553.9417267
1697046069.2374485,-332.3674202,-263.7088299,-225.8241177,-324.2850304
1697046069,-282.2458744,-206.5300941,-154.7455788,-258.0046654
1697046069.237471,-220.5371857,-141.3285732,-89.34736252,-199.8007298
1697046069.2374823,269.0315246582031,346.61293029785156,361.2399101257324,235.2297306060791
1697046069.2374935,714.3259048461914,790.7748222351074,787.5680923461914,650.7456302642822
1697046069.2375047,821.7573165893555,904.2024612426758,916.8088436126709,773.0126381
1697046069.237516,741.9407367706299,827.9919624328613,853.9259433746338,707.167387
1697046069.293429,966.7813777923584,1048.9284992218018,1050.1384735107422,894.7968482971191
1697046069.293464,1129.293441772461,1207.900047302246,1196.897029876709,1041.787863
1697046069,921.5474128723145,1002.5978088378906,1014.5187377929688,865.7038212
1697046069.2934957,422.21546173095703,504.14800643920904,548.2316017150879,411.8621349334717
1697046069.2935073,196.6536045074463,271.2845802307129,309.6640110015869,181.28156661987305
1697046069.2935224,77.62312889099121,143.3730125427246,175.7800579071045,56.999921798706055
1697046069.2935343,-263.9710903,-200.265646,-143.1405544,-248.9030361
1697046069.293546,-788.6052132,-723.940134,-632.1549416,-725.1858711
1697046069,-959.2056274,-898.5042572,-815.0577545,-903.0580521
1697046069.2935712,-826.8713951,-771.4092731,-709.3846798,-794.6014404
1697046069.293583,-845.2892303,-786.9958878,-717.5922394,-796.9498634
1697046069.2935944,-1072.138548,-1006.567478,-912.7318859,-985.8191013
1697046069.322122,-1092.797518,-1025.474072,-939.8162365,-1012.24184
1697046069.3221493,-788.974762,-725.0070572,-668.5197353,-744.0209389
1697046069.3221612,-623.3215332,-556.7252636,-503.7069321,-578.7432194
1697046069.3221724,-724.7507572,-652.1463394,-576.6391754,-651.0138512
1697046069.322206,-752.4073124,-677.895546,-603.5864353,-679.9340248
1697046069.322216,-411.0991955,-341.3498402,-297.498703,-382.7273846
1697046069.3222263,-174.6237278,-106.5433025,-69.45133209,-159.7583294
1697046069.3222365,-203.5558224,-129.9977303,-74.45812225,-168.5261726
1697046069.3222468,-228.4169197,-153.3448696,-94.13361549,-193.5660839
1697046069.3222573,161.0398292541504,233.10184478759766,258.38613510131836,145.9658145904541
1697046069.3222673,513.5893821716309,585.9911441802979,593.5788154602051,473.7555980682373
1697046069.369747,575.3338337,655.1027297973633,675.2967834472656,551.3906478881836
