Time,MV1,MV2,MV3,MV4
1695340625.3431082,27213.29927444458,-6031.787395,27190.738916397095,-6188.66086
1695340625.3431313,27213.454246520996,-4598.426819,27190.77467918396,-4804.188013
1695340625.3431497,27213.51981163025,-4579.406977,27190.82236289978,-4778.808355
1695340625.343161,27213.54365348816,-4948.633909,27190.887928009033,-5121.564865
1695340625.3432033,27213.56749534607,-6067.25812,27190.959453582764,-6218.773127
1695340625.3432136,27213.549613952637,-4889.047146,27191.01905822754,-5087.23855
1695340625.3432243,27213.484048843384,-4507.869482,27190.983295440674,-4707.39007
1695340625.3432348,27213.412523269653,-4886.627197,27190.91773033142,-5057.829618
1695340625.343246,27213.335037231445,-5881.476402,27190.84620475769,-6023.859978
1695340625.3432567,27213.27543258667,-5111.837387,27190.79852104187,-5295.115709
1695340625.3432672,27213.335037231445,-4324.281216,27190.780639648438,-4523.080587
1695340625.3432777,27213.358879089355,-4751.294851,27190.828323364258,-4925.268888
1695340625.3816488,27213.329076766968,-5603.814125,27190.828323364258,-5749.91107
1695340625.3816693,27213.305234909058,-5367.827415,27190.804481506348,-5544.954538
1695340625.3816855,27213.287353515625,-4223.698378,27190.768718719482,-4426.896572
1695340625.3816965,27213.29927444458,-4666.83507,27190.756797790527,-4845.261574
1695340625.3817072,27213.329076766968,-5285.686255,27190.792560577393,-5433.189869
1695340625.3817177,27213.305234909058,-5546.492338,27190.804481506348,-5710.26206
1695340625.381728,27213.329076766968,-4117.411375,27190.881967544556,-4318.243265
1695340625.3817387,27213.34696,-4495.614767,27190.905809402466,-4675.936699
1695340625.381749,27213.352918624878,-4967.37957,27190.84620475769,-5118.697882
1695340625.3817625,27213.364839553833,-5708.2057,27190.792560577393,-5861.699581
1695340625.3817732,27213.335037231445,-4176.056385,27190.768718719482,-4374.194145
1695340625.4318311,27213.263511657715,-4423.773289,27190.697193145752,-4607.200623
1695340625.431844,27213.221788406372,-4782.20582,27190.67931175232,-4938.572645
1695340625.4318616,27213.287353515625,-5759.102106,27190.721035003662,-5906.832218
1695340625.431873,27213.329076766968,-4271.137714,27190.732955932617,-4468.0655
1695340625.4318848,27213.358879089355,-4254.496098,27190.75083732605,-4444.092512
1695340625.4318967,27213.376760482788,-4615.795612,27190.780639648438,-4777.759314
1695340625.4319084,27213.358879089355,-5765.503645,27190.864086151123,-5905.70569
1695340625.431922,27213.39464187622,-4586.911201,27190.99521636963,-4775.267839
1695340625.4319336,27213.382720947266,-4267.87734,27191.001176834106,-4458.546638
1695340625.4319448,27213.311195373535,-4685.044289,27190.87005,-4849.302769
1695340625.4319563,27213.257551193237,-5762.839317,27190.804481506348,-5900.102854
1695340625,27213.25159072876,-4989.612103,27190.828323364258,-5168.378353
1695340625.479147,27213.233709335327,-4261.034727,27190.911769866943,-4452.317953
1695340625.479169,27213.22774887085,-4690.164328,27190.99521636963,-4854.220152
1695340625.4791875,27213.233709335327,-5515.670776,27190.94157218933,-5649.924278
1695340625.4791992,27213.25159072876,-5180.764198,27190.881967544556,-5346.345901
1695340625.4792109,27213.305234909058,-4039.978981,27190.87005,-4229.962826
1695340625.4792252,27213.335037231445,-4461.038113,27190.834283828735,-4626.053572
1695340625.4792368,27213.364839553833,-5103.570223,27190.852165222168,-5237.603188
1695340625.4792483,27213.388681411743,-5344.897509,27190.864086151123,-5495.321751
1695340625.4792597,27213.358879089355,-3947.389126,27190.834283828735,-4132.151604
1695340625.4792712,27213.263511657715,-4354.053736,27190.810441970825,-4516.023397
1695340625.479285,27213.25159072876,-4840.570688,27190.887928009033,-4972.016811
1695340625.5318365,27213.263511657715,-5538.976192,27190.905809402466,-5672.752857
1695340625.531856,27213.269472122192,-4012.614489,27190.929651260376,-4189.008474
1695340625.531868,27213.221788406372,-4285.913706,27190.91773033142,-4444.622993
1695340626,27213.12642097473,-4688.006639,27190.864086151123,-4816.299677
1695340625.5318916,27213.120460510254,-5707.18646,27190.834283828735,-5823.600292
1695340625.5319035,27213.197946548462,-4242.21158,27190.881967544556,-4405.218363
1695340625.5319147,27213.209867477417,-4284.012318,27190.881967544556,-4436.641932
1695340625.5319264,27213.20390701294,-4648.530483,27190.876007080078,-4772.108793
1695340625.531938,27213.209867477417,-5750.715733,27190.91773033142,-5853.432417
1695340625.5319514,27213.17410469055,-4493.546486,27190.911769866943,-4643.517733
1695340625.531963,27213.168144226074,-4173.475504,27190.810441970825,-4322.206974
1695340625.556682,27213.209867477417,-4545.70055,27190.82236289978,-4665.130377
1695340625.5567172,27213.245630264282,-5602.544546,27190.816402435303,-5692.601204
1695340625.5567312,27213.209867477417,-4771.488905,27190.858125686646,-4902.434349
1695340625.556743,27213.17410469055,-4074.108601,27190.911769866943,-4216.432571
1695340625.5567548,27213.20390701294,-4495.203495,27190.92369,-4611.366987
1695340625.556768,27213.263511657715,-5358.284712,27190.94157218933,-5446.022749
1695340625.556786,27213.293313980103,-4995.149374,27191.01905822754,-5116.385221
1695340625.5567977,27213.22774887085,-3897.875547,27191.007137298584,-4043.084383
1695340625.5568097,27213.18006515503,-4331.964254,27190.935611724854,-4452.514648
1695340625.5568218,27213.215827941895,-4995.208979,27190.97137451172,-5085.778236
1695340625.5568335,27213.263511657715,-5166.906118,27191.060781478882,-5275.2316
1695340625.6069424,27213.221788406372,-3776.490688,27191.04290008545,-3918.653727
1695340625.606966,27213.15622329712,-4172.486067,27191.030979156494,-4292.50598
1695340625.6069877,27213.10257911682,-4648.327827,27191.001176834106,-4738.622904
1695340625.6070125,27213.114500045776,-5284.845829,27190.959453582764,-5380.308628
1695340625.6070533,27213.15026283264,-3748.369217,27190.983295440674,-3887.039423
1695340625.6070745,27213.12642097473,-4026.257992,27190.929651260376,-4148.054123
1695340625.607096,27213.13238143921,-4420.441389,27190.887928009033,-4512.9776
1695340625.6071162,27213.17410469055,-5418.807268,27190.881967544556,-5501.782894
1695340625.6071355,27213.168144226074,-3944.092989,27190.87005,-4073.995352
1695340625.6071556,27213.138341903687,-4021.61479,27190.87005,-4140.609503
1695340625.607175,27213.138341903687,-4406.523705,27190.89984893799,-4495.787621
1695340625.6072376,27213.120460510254,-5549.263954,27190.87005,-5616.432428
1695340625.670575,27213.06085586548,-4300.457239,27190.75083732605,-4413.938522
1695340625.670614,27213.019132614136,-4047.489166,27190.643548965454,-4159.43861
1695340625.6706324,27212.947607040405,-4449.20063,27190.548181533813,-4532.879591
