Time,MV1,MV2,MV3,MV4
1697057202.7250524,2402.5440216064453,2478.456497192383,1778.3880233764648,2537.173033
1697057202.7250726,2222.621440887451,2298.3133792877197,1723.1404781341553,2389.127016067505
1697057202.7250903,2106.809616088867,2177.7987480163574,1609.027386,2259.451150894165
1697057202.725105,1917.4635410308838,1981.5385341644285,1471.0724353790283,2079.5106887817383
1697057202.725117,1518.028974533081,1576.7812728881836,1232.689619064331,1723.6173152923584
1697057202.7251291,890.0523186,943.3984756469727,837.4929428100586,1151.4842510223389
1697057202.7251403,359.5590591430664,403.6843776702881,401.98564529418945,624.8056888580322
1697057202.7251515,-131.1719418,-98.8483429,-1.007318497,143.39089393615723
1697057202.7251632,-658.5597992,-633.3470345,-395.0476646,-353.8906574
1697057202.7251763,-1217.967272,-1197.367907,-795.9365845,-876.1703968
1697057202.7251885,-1535.487175,-1519.64426,-1112.568378,-1210.439205
1697057203,-1602.298021,-1592.123508,-1249.206066,-1303.368807
1697057202.7437336,-1678.568125,-1670.402288,-1306.271553,-1370.823383
1697057202.743762,-1927.280426,-1919.990778,-1422.601938,-1578.223705
1697057202.7437806,-2167.207003,-2164.292336,-1598.262787,-1813.435555
1697057202.7437923,-2336.162329,-2339.929342,-1752.901077,-1987.212896
1697057202.7438047,-2529.489994,-2536.123991,-1899.182796,-2169.764042
1697057202.7438507,-2708.780766,-2714.151144,-2027.130127,-2331.185341
1697057202.7438617,-2540.493011,-2540.278435,-2004.987001,-2208.650112
1697057202.7438724,-1795.119047,-1786.357164,-1626.229286,-1557.260752
1697057202.743883,-728.5833359,-705.6355476,-926.232338,-566.5719509
1697057202.7438931,356.7218780517578,399.08289909362793,-89.84208107,488.42430114746094
1697057202.743908,1328.5458087921143,1386.9822025299072,698.2266902923584,1432.955265045166
1697057202.7914233,2243.6022758483887,2311.6588592529297,1411.9744300842285,2306.997776031494
1697057202.791436,2862.8885746002197,2936.953306,1964.855194091797,2922.6362705230713
1697057202.7914479,3090.6200408935547,3170.0849533081055,2268.2487964630127,3184.5390796661377
1697057202.7914605,3010.9286308288574,3093.3380126953125,2310.347557067871,3137.0043754577637
1697057202.7914722,2981.5495014190674,3062.516450881958,2266.8540477752686,3091.484308242798
1697057202.7914839,2886.4800930023193,2963.7575149536133,2195.352316,2998.4235763549805
1697057202.7914965,2588.719129562378,2663.099765777588,2029.097080230713,2737.3671531677246
1697057202.7915082,2058.3033561706543,2128.911018371582,1705.4200172424316,2256.011962890625
1697057203,1584.9590301513672,1647.6869583129883,1322.5078582763672,1784.4200134277344
1697057202.7915313,1110.3570461273193,1162.177324295044,945.9972381591797,1321.321725845337
1697057202.7915804,499.55844879150396,542.6824093,516.8676376342773,751.2331008911133
1697057202.7915924,-270.1818943,-234.6277237,-6.330013275,38.999319076538086
1697057202.8411489,-912.7080441,-887.0184422,-536.6623402,-596.010685
1697057202.8411813,-1371.473074,-1356.184483,-952.7087212,-1057.481766
1697057202.841194,-1827.991009,-1819.038391,-1306.861639,-1489.400864
1697057202.8412087,-2342.301607,-2336.645126,-1662.868261,-1960.813999
1697057202.8412216,-2670.115232,-2668.362856,-1963.633299,-2295.523882
1697057202.8412333,-2750.93317,-2754.569054,-2107.739449,-2400.588989
1697057202.8412447,-2789.372206,-2795.338631,-2157.390118,-2438.795567
1697057202.841256,-2880.322933,-2884.495258,-2193.725109,-2506.446838
1697057202.8412673,-2864.646912,-2866.864204,-2208.679914,-2504.67062
1697057202.841283,-2533.978224,-2534.228563,-2060.967684,-2225.631475
1697057202.8412948,-2069.664001,-2065.062523,-1764.017344,-1795.387268
1697057202.8950791,-1585.006714,-1569.277048,-1391.810179,-1319.557428
1697057202.8950918,-1011.08551,-984.454155,-974.63727,-777.7690887
1697057202.8951037,-152.9097557,-118.1840897,-413.0601883,9.173154830932617
1697057202.8951151,718.3253765106201,762.6116275787354,233.9184284210205,838.5300636291504
1697057202.8951266,1404.1543006896973,1460.4449272155762,823.9388465881348,1523.059606552124
1697057202.8951387,1847.3923206329346,1913.1243228912354,1247.793436050415,1974.6541976928709
1697057202.8951502,2305.358648300171,2376.699447631836,1589.6320343017578,2403.414249420166
