Time,MV1,MV2,MV3,MV4
1697057202.6726887,-1335.054636,-1323.187351,-1318.55607,-1294.440031
1697057202.672744,-1232.665777,-1216.548681,-1215.392351,-1188.480854
1697057202.6727629,-1147.550344,-1134.103537,-1132.22003,-1106.846333
1697057203,-1022.928953,-1000.30899,-999.4447231,-971.4901447
1697057202.6728024,-667.8521633,-626.0812283,-635.4749203,-600.1353264
1697057202.6728187,-247.7884293,-191.6587353,-213.4263515,-174.6416092
1697057202.6728384,81.89082145690918,141.6325569152832,112.89119720458984,148.63014221191406
1697057202.672856,311.07068061828613,377.5179386138916,344.6698188781738,379.1809082
1697057202.6728728,623.7566471099854,704.0917873382568,661.0631942749023,699.8479366
1697057202.6728892,908.3807468414307,997.2512722,942.5401688,983.6614131927489
1697057202.6729057,1032.8292846679688,1117.7003383636475,1057.6367378234863,1094.7763919830322
1697057202.6729224,961.1010551452637,1040.7209396362305,979.7990322113037,1014.4710540771484
1697057202.722534,947.4456310272217,1033.5803031921387,967.5920009613037,1006.2873363494873
1697057202.7226088,936.9075298309326,1024.2164134979248,949.9669075012207,992.5305843353273
1697057202.722622,814.4617080688477,893.4259414672852,816.1485195159912,856.3637733459473
1697057202.7226336,515.5384540557861,580.906868,506.9434642791748,544.6195602416992
1697057202.7226467,274.33037757873535,339.94317054748535,265.95592498779297,307.3573112487793
1697057202.7226608,106.34064674377441,170.49312591552734,91.92824363708496,138.3364200592041
1697057202.7226725,-108.975172,-53.74550819,-132.1852207,-86.67111397
1697057202.7226841,-443.2499409,-403.4757614,-475.6569862,-432.9741001
1697057202.722696,-686.1507893,-646.263361,-715.3093815,-669.3124771
1697057202.7227073,-786.5428925,-746.8760014,-818.0737495,-766.479969
1697057202.7227187,-889.8973465,-855.8154106,-927.4244308,-875.6160736
1697057202.7539325,-1115.292311,-1095.825434,-1161.849499,-1112.616062
1697057202.7539482,-1336.139441,-1320.081949,-1381.391287,-1329.708099
1697057202.7539625,-1402.723789,-1383.35824,-1447.087526,-1388.62133
1697057202.753974,-1424.264908,-1404.523849,-1470.911503,-1410.323381
1697057202.7539852,-1487.43391,-1474.34473,-1538.020372,-1480.460167
1697057202.7539964,-1491.129398,-1472.407579,-1533.138752,-1475.769281
1697057202.754008,-1244.407892,-1210.951805,-1277.470589,-1215.291023
1697057202.7540195,-882.5242519,-836.2948895,-911.039114,-847.5124836
1697057202.7540307,-538.033247,-488.9905453,-567.2931671,-509.2084408
1697057202.754042,-227.8625965,-170.0222492,-251.4302731,-195.9145069
1697057202.7540538,228.10101509094238,304.0015697479248,211.81106567382812,270.6944942474365
1697057202.7540655,686.3594055175781,774.2345333099365,667.8283214569092,728.3329963684082
1697057202.801168,982.0997714996339,1069.0867900848389,954.4312953948975,1010.4179382324219
1697057202.801192,1083.7674140930176,1169.1570281982422,1050.2398014068604,1103.144884109497
1697057202.801204,1214.4625186920166,1307.845115661621,1180.642843,1236.337423324585
1697057203,1335.5612754821777,1433.3486557006836,1295.6976890563965,1353.2817363739014
1697057202.801242,1338.4699821472168,1430.732011795044,1287.8000736236572,1341.4263725280762
1697057202.8012545,1156.9857597351074,1238.2209300994873,1096.665859222412,1145.6668376922607
1697057202.801266,1022.3507881164551,1105.332374572754,961.5540504455566,1012.4325752258301
1697057202.8012774,942.6295757293701,1024.5740413665771,873.9352226257324,928.6403656005859
1697057202.8012888,784.6832275390625,857.6333522796631,704.2288780212402,756.8478584289551
1697057203,478.7564277648926,535.4166030883789,386.0175609588623,434.4463348388672
1697057202.801316,195.02639770507812,248.16393852233887,100.42786598205566,151.14545822143555
1697057202.8527212,31.769275665283203,83.56571197509766,-66.99562073,-11.37256622
1697057202.8527615,-157.636404,-113.2249832,-264.197588,-209.1646194
1697057202.8527806,-462.2936249,-434.6072674,-578.8564682,-527.626276
1697057202.8528652,-764.0182972,-742.2745228,-880.3844452,-827.8489113
1697057202.8529224,-948.5065937,-929.6834469,-1067.352295,-1008.862257
1697057203,-1152.062416,-1142.23361,-1278.269291,-1217.591763
1697057202.8529575,-1469.218731,-1478.117704,-1606.625319,-1547.920704
1697057202.8529873,-1786.458492,-1801.371574,-1922.029257,-1861.578226
1697057202.853004,-1847.559214,-1856.219769,-1977.562904,-1910.507679
1697057202.853021,-1741.909981,-1743.322611,-1868.218184,-1799.219847
1697057202.8530385,-1567.625999,-1567.018032,-1692.283154,-1627.922058
1697057202.8874767,-1343.721151,-1332.676411,-1457.482576,-1396.18516
1697057202.8874965,-872.8265762,-839.0784264,-972.0206261,-908.0946445
1697057202.8875077,-318.6047077,-266.53409,-411.9873047,-347.2447395
1697057202.887555,155.3952693939209,216.11452102661133,63.472986221313484,122.2670078277588
1697057202.8875673,469.7144031524658,535.5358123779297,379.7411918640137,433.3376884460449
1697057202.887578,803.0891418457031,883.5613728,719.2254066467285,774.1034030914307
1697057202.887591,1112.2822761535645,1203.3462524414062,1027.4887084960938,1083.0819606781006
1697057202.8876019,1265.8417224884033,1354.9387454986572,1172.6915836334229,1223.0753898620605
1697057202.8876123,1214.3969535827637,1297.4023818969727,1115.4651641845703,1159.3639850616455
1697057202.8876233,1214.2658233642578,1303.6906719207764,1118.779182434082,1162.6899242401123
1697057202.8876345,1275.5513191223145,1369.3749904632568,1176.750659942627,1222.2766876220703
1697057202.9351268,1260.2746486663818,1350.2538204193115,1153.784990310669,1195.460557937622
1697057202.9351375,1050.9252548217773,1127.2847652435303,934.7617626190186,971.1563587188721
1697057202.9351544,834.0716361999512,909.7456932067871,718.9452648162842,756.5379143
1697057202.9351647,672.8708744049072,746.1130619049072,552.5529384613037,594.2761898040771
1697057202.9351752,445.8189010620117,510.49590110778814,317.2934055328369,357.8364849090576
1697057202.935186,81.09807968139648,127.11286544799805,-59.73577499,-23.80609512
1697057202.9351976,-298.2616425,-260.2994442,-440.8359528,-404.7632217
1697057202.935208,-520.6406116,-484.5321178,-665.4679775,-624.0665913
1697057202.9352183,-714.9636745,-684.7441196,-866.2998676,-823.8434792
1697057203,-992.1014309,-977.5817394,-1153.212786,-1113.74855
1697057202.9352405,-1261.121035,-1250.624657,-1420.140266,-1379.364729
1697057202.9352512,-1327.383518,-1312.226057,-1482.754946,-1435.4527
1697057202.9826343,-1321.405172,-1304.05426,-1477.2892,-1427.036524
1697057202.9826534,-1329.082251,-1316.094398,-1487.225294,-1439.929008
1697057202.9826703,-1337.689161,-1322.692633,-1490.294933,-1444.327831
1697057202.9827216,-1122.075319,-1091.891527,-1263.946295,-1213.818789
1697057202.9827337,-777.9836655,-733.423233,-913.6676788,-861.7222309
1697057202.9827452,-455.9516907,-406.9566727,-592.1363831,-544.3394184
1697057202.9827921,-226.7599106,-172.573328,-358.8676453,-314.9330616
1697057202.9828024,130.01561164855957,201.88093185424805,8.410215377807617,54.961442947387695
1697057202.982813,534.2483520507812,619.3816661834717,414.9019718170166,463.78374099731445
1697057202.9828265,826.9965648651123,915.8313274383545,704.3004035949707,749.4747638702393
1697057202.9828367,945.7588195800781,1032.9902172088623,820.3506469726562,860.8996868133545
1697057202.9828477,1072.7643966674805,1168.4179306030273,951.4868259429932,993.5081005096436
1697057203.0325108,1206.6781520843506,1307.1894645690918,1082.1759700775146,1127.469539642334
1697057203.0325336,1222.4555015563965,1318.4070587158203,1089.9662971496582,1132.6253414154053
1697057203.0325508,1013.3564472198486,1093.912124633789,870.1026439666748,908.2257747650146
1697057203.0325615,753.0093193054199,829.7383785247803,609.2667579650879,648.8502025604248
1697057203.0325737,564.5573139190674,639.2538547515869,416.9881343841553,461.93599700927734
1697057203.032585,326.1268138885498,391.98994636535645,170.96400260925293,215.81053733825684
1697057203.0325956,-45.15051842,2.777576446533203,-209.9454403,-169.2950726
1697057203.0326436,-390.7203674,-347.5964069,-552.2668362,-510.7820034
1697057203.0326567,-540.9061909,-496.1550236,-699.8360157,-652.974844
1697057203.0326684,-634.2470646,-592.237711,-795.4120636,-747.4601269
1697057203.0326798,-779.6108723,-749.9873638,-946.7959404,-902.7421474
1697057203.0827367,-908.6251259,-879.8122406,-1070.302725,-1026.850939
1697057203.0827549,-836.1637592,-799.793005,-991.4457798,-943.1004524
1697057203.082766,-686.2699986,-644.3858147,-839.4181728,-789.6661758
1697057203.0827785,-570.6489086,-532.3290825,-725.6031036,-680.8638573
1697057203.0828235,-489.5508289,-449.4428635,-639.1882896,-597.5842476
1697057203.0828683,-243.550539,-190.4428005,-384.3545914,-340.1696682
1697057203.0828788,57.256221771240234,119.54903602600098,-82.4213028,-37.51516342
1697057203.0828893,242.0663833618164,301.33724212646484,96.10056877,136.03568077087402
