Time,MV1,MV2,MV3,MV4
1697830363.3135307,-241.9412136,-117.0933247,-387.2573376,-711.7450237
1697830363.313551,-60.47487259,68.44401359558105,-209.8619938,-539.4995213
1697830363,92.45872497558594,222.08690643310547,-58.23373795,-392.6932812
1697830363.313624,7.164478302001953,133.2223415374756,-132.5488091,-471.1568356
1697830363.3136814,-74.69654083,46.28300666809082,-211.9600773,-557.5180054
1697830363,115.2336597442627,240.76104164123535,-29.6831131,-380.4087639
1697830363.313717,261.83128356933594,391.32237434387207,118.02911758422852,-238.8119698
1697830363.3137333,170.77922821044922,295.75228691101074,35.953521728515625,-320.8994865
1697830363.3137496,-31.32224083,88.79899978637695,-159.6212387,-517.1477795
1697830363.3137662,94.01440620422363,218.36161613464355,-38.4926796,-402.700901
1697830363.3138032,265.9261226654053,394.50526237487793,124.99690055847168,-240.8444881
1697830363.3138196,281.3756465911865,409.2693328857422,148.07581901550293,-221.5504646
1697830363.362258,106.47177696228027,228.08313369750977,-25.03991127,-389.8143768
1697830363.3623004,233.6561679840088,356.94241523742676,94.48528289794922,-272.0415592
1697830363.362352,414.6397113800049,544.8877811431885,267.5056457519531,-96.6668129
1697830363.3623688,455.9040069580078,586.2593650817871,307.9831600189209,-56.05816841
1697830363.3623872,242.6743507385254,367.4745559692383,98.91390800476074,-257.819891
1697830363.3624046,302.1538257598877,429.0282726287842,152.05144882202148,-209.7725868
1697830363.3624215,474.5066165924072,610.6972694396973,317.5795078277588,-43.56503487
1697830363.3624387,551.0985851287842,690.1323795318604,393.7661647796631,30.630826950073242
1697830363.3624556,337.2669219970703,471.36545181274414,187.83807754516602,-168.2698727
1697830363.3624725,310.89186668395996,444.17381286621094,155.88998794555664,-200.3788948
1697830363.362492,458.7233066558838,595.6470966339111,297.3020076751709,-55.42635918
1697830363.3625088,532.9251289367676,671.5059280395508,366.50896072387695,14.68658447265625
1697830363.408304,315.7675266265869,448.0242729187012,157.74965286254883,-185.4836941
1697830363.408331,187.44468688964844,316.1966800689697,24.121999740600586,-317.4185753
1697830363.4083495,296.67019844055176,430.3097724914551,124.45449829101562,-213.354826
1697830363.4083612,370.2104091644287,506.55603408813477,191.29514694213867,-142.6935196
1697830363.4083726,192.22497940063477,322.99160957336426,19.371509552001953,-308.3407879
1697830363.408384,30.95865249633789,155.38334846496582,-144.2074776,-467.979908
1697830363.4083953,155.8542251586914,285.8102321624756,-28.18107605,-351.3216972
1697830363,260.81204414367676,395.1072692871094,72.74150848388672,-249.5825291
1697830363.4084232,138.16356658935547,269.3295478820801,-44.50082779,-360.3339195
1697830363.4084346,-121.229887,5.000829696655273,-302.8869629,-607.5918674
1697830363.408446,-87.5711441,40.51327705383301,-278.4311771,-575.3993988
1697830363.4546862,-52.32095718,78.60660552978516,-253.5581589,-537.9498005
1697830363.4547071,-187.2837543,-59.52119827,-387.9070282,-663.7811661
1697830363.4547188,-488.8832569,-368.7977791,-688.2488728,-951.3437748
1697830363.4547305,-438.2669926,-316.5781498,-647.4912167,-910.615921
1697830363.4547417,-267.5235271,-140.1722431,-486.8686199,-747.2515106
1697830363.454756,-164.6757126,-38.95163536,-385.8149052,-645.2143192
