# pipeline_state=forced_reference
time_sec,Delta,Theta,Alpha,Beta,Gamma,beta_alpha_ratio,theta_beta_ratio
1.0,9521.064392259306,2433.133728390802,821.4242002848792,372.2779424231499,74.05469523244922,0.453210341616475,6.5357987974081455
2.0,56146.470292987826,22148.141182599193,7240.327823622737,2766.9589838662378,332.5639145854143,0.38215935124354283,8.004506503978554
3.0,754612.9407422896,144815.39977646538,48483.58294186342,10963.431101201077,1523.9678026709337,0.2261266687807976,13.208948771575754
4.0,205722.79541809935,27880.011639621865,9805.340974221977,2184.693682594943,305.5241313091596,0.222806497840152,12.761519778144116
5.0,12565.604477861023,3641.6505669901608,4581.912918959387,531.5911381686425,132.68331676570833,0.11601947648742611,6.850472676304999
6.0,4369.408531738374,3254.0256016627536,2419.4774817961834,419.1703490495172,74.26639744431428,0.1732482952221285,7.763014748159944
7.0,2108.058269510941,1391.6783411302195,466.89797506417597,173.89055817335014,42.3965172739067,0.37243802171009327,8.003185197340422
8.0,4054.6527371765715,9547.955191247627,2426.952369318772,470.4818184754094,86.95475727577124,0.19385704656720157,20.293993978742176
9.0,5446.962162766216,2716.6363025561586,935.8543674193446,169.58075797022232,34.87196322955288,0.18120421710254767,16.01972025053213
10.0,7325.065807759816,1891.0992464751193,730.17913513197,225.45666268586947,34.46572793678766,0.3087689744039608,8.387861436190967
11.0,9699.59739613562,2473.1992083679434,702.9756180019231,229.54246368984755,33.12028118252002,0.3265297654878545,10.774473570649102
12.0,14968.623498241548,2175.577238656167,631.9085564452901,220.16693914248583,36.099603496323546,0.34841582203128096,9.881489233259472
13.0,10285.574598560757,920.4111535016989,1067.5807634721482,186.8267748699358,31.307905534717115,0.1750001323200218,4.926548425098418
14.0,13175.486274040966,1313.5895061409283,508.15680086644045,144.86241691776104,36.328385810396675,0.2850742461200188,9.067841984761708
15.0,12527.524501318969,1048.0065343339222,705.9667746210588,172.05368268579505,41.127489915300494,0.24371356963385163,6.09116014242947
16.0,729.6518446074723,881.2003505660115,1014.7870874260398,126.40516174625081,45.41624080053044,0.12456323431043217,6.9712370791863485
17.0,2028.9827766422497,504.2555686881595,233.43380675868804,50.247972566678065,9.621582884932748,0.21525576464004573,10.03534158555397
18.0,3290.033254900932,513.9392149941131,93.4121012677052,48.39609284874529,11.047235218210554,0.5180923262827509,10.619436089610637
19.0,2374.15402795858,378.0530934345015,236.65331825151287,41.79231391300158,7.66257608039174,0.1765972022779123,9.045995735519426
20.0,1216.9237579869464,744.6931672232582,254.9669634943447,21.24766204909039,10.252166396742851,0.08333496135298986,35.04824039005922
21.0,30687.44470196193,2111.6688657162667,1057.6722487875284,365.46449287847065,71.77872687811995,0.34553661902108523,5.77804111443042
22.0,11587.03321735601,1018.9731599822367,428.1438303992415,223.67150130835,27.49099480142481,0.5224214047409669,4.555668263600093
23.0,3440.1249414664403,1355.1277534559852,1272.3799104155714,147.91996908716843,33.97787896641343,0.11625456192471346,9.161222530119755
24.0,9023.079720789558,494.4843640373823,717.9428303073164,145.63331154734578,30.966151346553715,0.20284806171127476,3.3954069902243766
25.0,5402.265020077254,426.48008744695755,1293.9470630685475,139.82248311623104,42.069810758436425,0.10805888981628599,3.050153866116331
26.0,1100.5315307884687,2313.87525782506,758.0163406477828,161.9055864520035,57.84060692980721,0.2135911559817336,14.291509691118673
27.0,4381.130770509351,1002.5495046532712,511.97769512520324,140.95367409521262,29.215459771122077,0.27531213847263925,7.112617043072325
28.0,12237.518228863039,1419.9295001437222,600.8721707389731,238.29328301018703,43.359171100434494,0.3965789973550045,5.958747482122777
29.0,21060.13118176479,9918.35755096547,3872.9281677845347,632.7070147918982,155.687977576453,0.16336657623935,15.676066993231752
