# pipeline_state=no_reference
time_sec,MV1_var,MV3_var
1.0,0.03629241482263279,0.08799044825481042
2.0,0.09627863629743068,0.13792744995326284
3.0,0.09090753916218153,0.07477715289174415
4.0,0.04683967421084162,0.05374920282157085
5.0,0.19348885552561057,0.19485669768202624
6.0,0.13785532695203245,0.10848865400668302
7.0,0.1341780032322212,0.13322240889520282
8.0,0.22135831748452173,0.18017776003893646
9.0,0.11333480645526806,0.1298131572076728
10.0,0.06542337063527641,0.08028289122966151
11.0,0.31094990651367554,0.29866705954805567
12.0,0.15459269094197844,0.1743937105992949
13.0,0.051652179880421596,0.09314441642715966
14.0,0.13283924099034414,0.1305947881090323
15.0,0.08673080001306935,0.07985657172615696
16.0,0.24082783065727478,0.19362481195756992
17.0,0.13149567021909064,0.10500009280502644
18.0,0.06002762475923101,0.06815842250489487
19.0,0.13253554087376238,0.11611565055418907
20.0,0.13256327333049603,0.11062848619300994
21.0,0.11505368828314778,0.0861944700005974
22.0,0.163055382601102,0.16276302792344058
23.0,0.08035716700270674,0.07899485509243359
24.0,0.07234389859165524,0.07635788788128269
25.0,0.07802966819524076,0.08420752816130224
26.0,0.08861704237251387,0.11046900887074741
27.0,0.20733572649605625,0.21633660328645118
28.0,0.14454112267925445,0.14378252085824453
29.0,0.08744468909397991,0.050309056255727
30.0,0.14684243568250055,0.10909004104690001
31.0,0.16830515982540004,0.13221110429470737
32.0,0.17584735427502468,0.168474381317093
33.0,0.2075593401910913,0.16935495903157088
34.0,0.15096216526358575,0.10385161966808416
35.0,0.2152202314594823,0.19564228879872997
36.0,0.08463726940623924,0.07021813780476108
37.0,0.051317189210362234,0.045864841382053885
38.0,0.08577176583795201,0.09961888455300619
39.0,0.020787684828303832,0.02508105835814096
40.0,0.06461234775067726,0.0634225130458969
41.0,0.040835830717074285,0.061215139637225656
42.0,0.030409876961521698,0.043915361731953664
43.0,0.07895601722855165,0.08421520615403078
44.0,0.15305607615968614,0.13788270059792032
45.0,0.09947030834629005,0.12821947470273046
46.0,0.1554642411856041,0.1333962198564367
47.0,0.07514874759590771,0.060548363032161254
48.0,0.1320986969949756,0.10823595197644278
49.0,0.05532060824582204,0.03947370202023923
50.0,0.06855176573956501,0.059394710100598075
51.0,0.11607707971789254,0.13498824011701227
52.0,0.13141513438259522,0.16072518042115075
53.0,0.18467158467615122,0.19668153242173367
54.0,0.10505917224509187,0.11095606454840813
55.0,0.14833347906791308,0.1751151556826126
56.0,0.08328702448798672,0.08947459830794648
57.0,0.06497934352401631,0.08019037666516436
58.0,0.0741224665700993,0.09088261336280866
59.0,0.03962507930253935,0.03507531627874674
60.0,0.04826865714096168,0.049442641723980905
61.0,0.05996613538323819,0.05051685633950103
62.0,0.03551341594022558,0.047846215613599315
63.0,0.07913520645012354,0.055437069124885406
64.0,0.08959576811314161,0.05978642457364977
