Time,MV1,MV2,MV3,MV4
1697063560.696246,277.06027030944824,295.8953380584717,346.13609313964844,-225.4962921
1697063560.6962812,179.46362495422363,201.63655281066895,252.4554729,-314.3012524
1697063560.6962972,133.62765312194824,162.35709190368652,217.8966999053955,-346.3923931
1697063560.696314,91.80307388305664,102.59747505187988,151.66997909545898,-408.8938236
1697063561,52.32095718383789,61.202049255371094,119.99011039733887,-442.3499107
1697063560.696346,122.32065200805663,179.18944358825684,270.3130245,-303.7571907
1697063560.6963613,194.9787139892578,275.09331703186035,378.50141525268555,-199.8126507
1697063560.6963792,208.7116241455078,271.5110778808594,362.46776580810547,-212.7528191
1697063560.6963942,129.30631637573242,152.95147895812988,226.02081298828125,-341.5167332
1697063561,122.20740318298341,168.64538192749023,255.96618652343747,-314.9032593
1697063560.696426,127.82812118530273,178.89738082885742,264.0366554260254,-303.6916256
1697063560.6964412,105.13067245483398,139.23048973083496,209.3672752380371,-351.8104553
1697063560.743694,5.6743621826171875,-8.398294449,36.88335418701172,-514.3165588
1697063560.7437353,-5.47170639,4.261732101,71.27523422241211,-486.010313
1697063560.743752,47.94597625732422,80.99675178527832,157.6364040374756,-402.3611546
1697063560.7437685,78.20725440979004,110.0778579711914,181.81204795837402,-378.3404827
1697063560.743785,-12.74943352,-39.79206085,-8.136034012,-555.6166172
1697063560.7438047,-86.45653725,-117.4688339,-89.00761604,-634.4199181
1697063561,-119.3106174,-151.3123512,-133.9614391,-673.854351
1697063560.743838,-188.9109612,-244.0750599,-249.0997314,-779.0863514
1697063560.7438588,-345.5162048,-471.4012146,-525.2480507,-1035.058498
1697063560.743874,-488.5792732,-639.2478943,-704.4732571,-1205.551624
1697063560.743888,-556.8981171,-709.6409798,-786.3640785,-1278.322935
1697063560.7900827,-624.2394447,-790.4589176,-883.0070496,-1364.952326
1697063560.7901008,-724.118948,-937.1340275,-1060.640812,-1529.318094
1697063560.7901127,-788.2356644,-1002.043486,-1117.271185,-1585.936546
1697063561,-692.3139095,-844.6872234,-922.3401546,-1402.807236
1697063560.7901428,-514.4953728,-598.2220173,-630.5873394,-1128.560305
1697063560.7901542,-320.7862377,-363.1532192,-364.8519516,-879.16255
1697063560.7901652,-128.8235188,-116.2230968,-71.5970993,-607.6216698
1697063560.7901804,185.94861030578613,307.48844146728516,427.0911217,-143.3968544
1697063560.7901917,494.3490028381347,691.7536259,858.7896823883057,263.6849880218506
1697063560.7902029,724.1904735565186,949.4900703430176,1134.4671249389648,522.5896835327148
1697063560.7902143,808.1972599029541,1018.0056095123291,1199.1500854492188,581.5267562866211
1697063560.7902255,890.0046348571777,1126.4264583587646,1324.8026371002197,695.8425045013428
1697063560.8361528,911.5517139434814,1142.5793170928955,1329.1418552398682,701.0638714
1697063560.8362143,842.3984050750732,1033.6697101593018,1187.0920658111572,569.5521831512451
1697063560.8362265,644.4156169891357,755.3219795227051,861.3884449005127,262.36772537231445
1697063560.836238,498.39019775390625,595.2119827270508,693.8159465789795,102.30541229248047
1697063560.8362503,380.5577754974365,453.75823974609375,530.0641059875488,-48.07114601
1697063560.8362615,242.54322052001953,276.4880657196045,324.16582107543945,-239.4855022
1697063560.8362734,10.74075698852539,-44.26240921,-53.20310593,-591.4509296
1697063560.8362885,-181.3292503,-262.4809742,-284.6062183,-812.458992
1697063560.8363016,-292.6707268,-382.7154636,-420.8087921,-937.0267391
1697063560.836336,-380.7008266,-484.5380783,-537.3895168,-1044.237614
1697063560.8363461,-508.17132,-662.8394127,-747.5614548,-1240.372658
1697063560.8874593,-556.7312241,-694.6206093,-760.6804371,-1258.063316
1697063560.887472,-500.4584789,-602.9009819,-651.4787674,-1153.963804
1697063560.887484,-434.9946976,-516.6590214,-554.9430847,-1062.220335
1697063560.8874953,-449.6693611,-569.8561668,-637.2511387,-1135.30159
1697063560.8875117,-500.2439022,-634.9802017,-707.4296474,-1203.280687
1697063560.8875263,-474.8165607,-588.5362625,-653.6781788,-1150.518656
1697063560.8875377,-440.8538342,-543.1354046,-605.4699421,-1102.679968
1697063560.8875513,-434.9827766,-555.5212498,-629.7707558,-1124.370098
1697063560.8875628,-449.1508007,-577.0146847,-644.4573402,-1142.442226
1697063560.887574,-345.1943398,-419.1875458,-450.2892494,-963.3004665
1697063560.8875852,-229.1083336,-271.8389034,-283.9386463,-806.8263531
1697063560.9123592,-165.8856869,-215.2323723,-232.9587936,-757.7717304
1697063560.9123843,-190.3355122,-264.86516,-291.0673618,-813.5437965
1697063560.9124024,-130.4388046,-162.0471478,-158.0655575,-691.9324398
1697063560.9124138,-32.25803375,-27.39429474,-2.151727676,-542.9446697
1697063560.9124258,75.97208023071289,107.65194892883301,152.33159065246582,-397.6225853
1697063560.9124372,136.08932495117188,168.77055168151855,222.28360176086426,-332.5581551
1697063560.912449,283.7538719177246,381.41608238220215,487.0116710662842,-88.59634399
1697063561,478.1842231750488,634.4437599182129,775.1882076263428,184.41081047058105
1697063560.9124713,634.7060203552246,818.3002471923828,975.6624698638916,374.82380867004395
1697063560.9124823,636.0292434692383,773.7696170806885,904.3276309967041,310.34350395202637
1697063560.9124932,617.1047687530518,754.6663284301758,888.9377117156982,292.9985523223877
1697063560.9613488,597.8167057037354,725.2931594848633,845.5991744995117,255.6443214416504
1697063560.961367,518.9239978790283,614.7027015686035,709.6230983734131,130.34343719482422
1697063560.9614108,345.2181816101074,363.4512424468994,411.67140007019043,-150.2931118
1697063560.961422,210.95871925354004,211.5011215209961,258.82720947265625,-300.0557423
1697063560.9614322,188.71426582336426,206.8638801574707,264.91284370422363,-297.3794937
1697063560.9614425,189.99576568603516,214.9641513824463,276.89337730407715,-286.9904041
1697063560.9614527,132.62629508972168,114.63165283203125,150.01893043518066,-406.0864449
1697063560.961463,32.12690353393555,-11.75999641,12.39776611328125,-538.2478237
1697063560.9614735,8.535385131835938,-20.08080482,7.903575897216797,-542.5393581
1697063560.961487,2.7894973754882812,-19.21057701,10.865926742553711,-537.5862122
1697063560.9614973,-30.14802933,-76.99131966,-63.51470947,-606.7991257
1697063560.9615076,-81.47954941,-138.5211945,-124.0074635,-667.7925587
1697063561.032574,-7.975101471,-12.44544983,33.04481506347656,-524.5923996
1697063561.0325975,76.36547088623047,97.54300117492676,150.66862106323242,-411.5283489
1697063561.0326152,116.2111759185791,129.24671173095703,169.7063446044922,-391.3760185
1697063561.0326269,66.92409515,46.83732986450195,70.60170174,-486.0639572
1697063561.0327444,97.79334068,107.10954666137695,151.94416046142578,-412.4045372
1697063561.0327556,142.6696777,161.62395477294922,211.56668663024902,-354.2840481
