Time,MV1,MV2,MV3,MV4
1696023143.108922,-297.498703,-146.4247704,163.2094383239746,-344.055891
1696023143.1089468,-266.1705017,-123.9657402,175.37474632263184,-321.6207027
1696023143.1089652,-368.5712814,-241.1186695,184.50021743774414,-429.4812679
1696023143.1089766,-93.16802025,82.69548416137695,205.25455474853516,-114.7687435
1696023143.108988,-82.07559586,105.33928871154785,220.91269493103027,-96.4641571
1696023143.1089995,-58.49599838,136.76881790161133,242.48361587524414,-67.17443466
1696023143.1090107,-163.7876034,2.5153160095214844,251.2514591217041,-191.5633678
1696023143.1090243,16.355514526367188,221.9557762145996,261.4438533782959,22.19676971435547
1696023143.1090355,35.16674041748047,245.5949783325195,257.6470375061035,41.550397872924805
1696023143.1090815,-18.76950264,181.2279224395752,259.81664657592773,-20.12848854
1696023143.109093,-182.5332642,-15.83099365,243.25251579284668,-205.5823803
1696023143.1091042,-124.7286797,53.46536636352539,231.70113563537598,-129.6281815
1696023143.156296,-66.79296494,117.94567108154297,211.36999130249023,-66.20883942
1696023143.156335,-166.4638519,17.279386520385742,206.39896392822266,-162.6968384
1696023143.156355,-251.2454987,-97.50723839,199.84841346740723,-267.2314644
1696023143.156372,-254.1005611,-86.21811867,197.75629043579102,-249.2666245
1696023143.1563857,-117.5165176,70.52421569824219,189.23282623291016,-98.80661964
1696023143.156397,-273.6091614,-112.1103764,178.30729484558105,-276.2496471
1696023143.1564083,-443.7863827,-333.5297108,144.4399356842041,-488.1024361
1696023143.1564195,-678.0266762,-619.5008755,91.26663208007812,-759.0889931
1696023143.1564305,-693.9649582,-648.5462189,16.14093780517578,-790.4112339
1696023143.1564417,-1005.393267,-1021.832228,-57.63173103,-1153.087616
1696023143.1564534,-1168.441772,-1241.743565,-117.1350479,-1365.226507
1696023143.203986,-1340.502501,-1465.165615,-155.3714275,-1574.295759
1696023143.204005,-1110.249758,-1177.340746,-159.3232155,-1296.114922
1696023143.2040172,-1106.858253,-1151.865721,-130.3195953,-1275.056601
1696023143.2040286,-969.6483612,-989.7887707,-72.99184799,-1120.364666
1696023143.2040403,-936.2876415,-955.7664394,-9.083747864,-1082.187891
1696023143.2040515,-548.2375622,-476.5808582,67.23403930664062,-619.9300289
1696023143.2040682,-418.4186459,-298.5239029,139.97554779052734,-451.618433
1696023143.2040796,-267.1658993,-129.5506954,213.3309841156006,-288.1586552
1696023143.2040906,-295.2873707,-173.7177372,259.5841884613037,-325.5784512
1696023143.2041016,-86.40885353,86.70091629,291.4309501647949,-70.84012032
1696023143.2041125,-68.26519966,113.58857154846191,295.5436706542969,-48.1903553
1696023143.2041237,-146.0194588,34.165382385253906,294.68536376953125,-125.592947
1696023143.252628,-312.5369549,-179.2371273,271.9283103942871,-327.5632858
1696023143.2526753,-267.4102783,-122.0047474,250.93555450439453,-267.8275108
1696023143.2526927,-235.3072166,-73.76670837,223.39820861816406,-223.326683
1696023143.2527127,-339.0550613,-197.5119114,209.58185195922852,-343.7519073
1696023143.2527292,-453.1860352,-347.7156162,189.82887268066406,-483.3102226
1696023143.252745,-444.5075989,-330.6865692,184.1127872467041,-458.1689835
1696023143.2527623,-279.8974514,-137.3291016,178.17020416259766,-271.9461918
