Time,MV1,MV2,MV3,MV4
1696023143.0478036,27210.77799797058,-21846.44938,27188.32492828369,-3336.763382
1696023143.0990598,27210.77799797058,-21880.47171,27188.32492828369,-3338.128328
1696023143.0990753,27210.80780029297,-21703.583,27188.313007354736,-3317.695856
1696023143.0990882,27210.77799797058,-21627.56324,27188.313007354736,-3316.08057
1696023143.0991023,27210.772037506104,-21633.30913,27188.27724456787,-3320.69993
1696023143.0991158,27210.73031425476,-21754.38404,27188.211679458618,-3333.812952
1696023143.0991309,27210.789918899536,-21659.19542,27188.22956085205,-3321.105242
1696023143.0991435,27210.843563079834,-21578.21059,27188.247442245483,-3318.023682
1696023143.099157,27210.813760757446,-21583.92668,27188.289165496826,-3319.042921
1696023143.099171,27210.789918899536,-21662.49156,27188.366651535034,-3329.026699
1696023143.0991845,27210.813760757446,-21628.16525,27188.40241,-3321.158886
1696023143.0991988,27210.891246795654,-21565.50288,27188.414335250854,-3319.144249
1696023143.0992117,27210.968732833862,-21597.34964,27188.467979431152,-3328.096867
1696023143.1339073,27211.034297943115,-21686.33938,27188.533544540405,-3338.235617
1696023143.1339371,27211.07006072998,-21641.25443,27188.575267791748,-3327.864408
1696023143.133953,27210.980653762817,-21410.08973,27188.563346862793,-3306.502104
1696023143.1339695,27210.909128189087,-21261.24501,27188.509702682495,-3298.342228
1696023143.1339865,27210.915088653564,-21149.61147,27188.47393989563,-3295.022249
1696023143.1340024,27210.885286331177,-21073.46654,27188.444137573242,-3291.43405
1696023143.1340184,27210.837602615356,-20847.90468,27188.366651535034,-3277.683258
1696023143.1340332,27210.795879364014,-20825.30856,27188.34877,-3287.893534
1696023143.1340492,27210.819721221924,-20911.13329,27188.414335250854,-3301.656246
1696023143.134065,27210.87336540222,-21121.59729,27188.444137573242,-3320.69397
1696023143.1340816,27210.897207260132,-21113.10363,27188.52162361145,-3319.185972
1696023143.134097,27210.938930511475,-21245.61667,27188.527584075928,-3334.140778
1696023143.182619,27210.95085144043,-21407.25255,27188.467979431152,-3347.361088
1696023143.1826475,27210.962772369385,-21614.54558,27188.503742218018,-3361.296654
1696023143.1826658,27210.980653762817,-21556.18072,27188.539505004883,-3347.599506
1696023143.1826775,27211.02237701416,-21555.90653,27188.533544540405,-3353.816271
1696023143.1826892,27211.14754676819,-21608.95467,27188.557386398315,-3359.431028
1696023143.1827004,27211.230993270874,-21731.84752,27188.634872436523,-3373.086452
1696023143.1827118,27211.230993270874,-21635.87213,27188.682556152344,-3358.584642
1696023143.1827233,27211.135625839233,-21539.11591,27188.730239868164,-3351.849318
1696023143.1827347,27211.087942123413,-21463.20939,27188.78984451294,-3348.207474
1696023143.1827464,27211.07006072998,-21465.91544,27188.748121261597,-3350.144625
1696023143.1827576,27211.09390258789,-21314.88919,27188.71235847473,-3331.059217
1696023143.2302113,27211.076021194458,-21099.4482,27188.700437545776,-3316.694498
1696023143.2302296,27211.087942123413,-21002.3582,27188.73620033264,-3314.834833
1696023143.2302423,27211.19523048401,-21013.40294,27188.819646835327,-3322.434425
1696023143.2302577,27211.26079559326,-20986.30667,27188.777923583984,-3320.634365
1696023143.2303069,27211.24291419983,-20877.92158,27188.706398010254,-3316.313028
1696023143.2303188,27211.207151412964,-20944.41056,27188.68851661682,-3328.478336
1696023143.2303333,27211.23695373535,-21064.15629,27188.706398010254,-3341.86554
1696023143.2303448,27211.24291419983,-21178.72238,27188.652753829956,-3348.892927
1696023143.2303576,27211.201190948486,-21082.37147,27188.66467475891,-3338.873386
1696023143.2303696,27211.254835128784,-21112.18572,27188.748121261597,-3344.494104
1696023143.2303813,27211.24291419983,-21179.83699,27188.74216079712,-3350.025415
1696023143.2303927,27211.177349090576,-21253.3772,27188.64679336548,-3353.124857
1696023143.2649684,27211.207151412964,-21085.006,27188.61699104309,-3334.093094
1696023143.2650013,27211.248874664307,-21038.62762,27188.59910964966,-3332.871199
1696023143.2650127,27211.29059791565,-21002.84696,27188.676595687866,-3330.689669
