# pipeline_state=no_quality_check
time_sec,Delta,Theta,Alpha,Beta,Gamma,beta_alpha_ratio,theta_beta_ratio
1.0,41711.830696995945,16710.28188558292,5992.708676470312,2126.823597572721,487.93606324508045,0.35490188367131076,7.856919541730615
2.0,15090.634993574853,4028.0410823541606,3822.14140704775,388.5788111118579,195.3988310115653,0.1016652106055906,10.366085250064323
3.0,5077.302827465732,1682.895110523145,809.7291319009821,96.64890888650791,28.44898686653505,0.11935955503985331,17.41245845309357
4.0,825.1311212847473,461.9843765429667,64.26933947335604,28.730452326255936,3.449017674063349,0.4470320149807458,16.07995486102293
5.0,621.3202677438322,466.9454245365239,671.1191832033595,38.08425117020871,18.973391228586067,0.05674737382476011,12.260853507388653
6.0,441.68482112704174,120.8583935825751,50.57023963865793,13.770173173470342,2.862465974110255,0.2722979616443001,8.776824522107047
7.0,354.8014166456904,290.57251835372875,112.56955727578531,18.58926604513095,5.018077568923952,0.16513581908818312,15.631199082754417
8.0,178.32728602652637,317.4714365658041,356.30779690941864,55.28191306431792,9.07971891347419,0.1551521284233132,5.742772255302397
9.0,453.54023040534094,382.16042369277045,384.6090778342421,39.885386200411055,9.726852335285136,0.10370370461614732,9.581464794462287
10.0,150.39846181748237,653.7258701794922,497.49239461564093,39.54176625626637,17.950340346036803,0.07948215225846027,16.532540957901524
11.0,472.44439058388645,498.6194682567957,149.91755860896075,52.714289550881894,6.728863529588864,0.3516218516363373,9.458905213462257
12.0,286.76091110970134,91.34208431986355,242.28620436924666,58.02050399974839,15.731070389877013,0.23947093542034506,1.5743069781031143
13.0,47.4452505392569,221.11390972007084,525.7046239037629,73.20988895292255,11.746696217553913,0.13926050033435616,3.020273802931973
14.0,154.94131635841836,88.15782043865539,700.2343831450477,19.27955625515496,16.049493101403375,0.027533004261462213,4.572606302340791
15.0,332.8835555452461,351.60079075720483,215.54021549466597,24.585762254797558,7.571699506700743,0.11406577746233157,14.30099205846648
16.0,642.1350650606172,504.83783978389783,546.0674508678572,45.657582214086375,14.466322938161966,0.08361161636996205,11.057042780249196
17.0,346.75069450606196,803.8437721884193,862.8862829393914,63.35806900334621,20.222838315053032,0.07342574595984908,12.68731488874708
18.0,133.84234222032276,453.648093614488,1080.1794166571344,40.73663813640041,19.425353942389325,0.037712844281433705,11.136120071948909
19.0,155.28085137983348,601.9030496002267,700.9977464332171,46.64635559706692,19.21662869325583,0.06654280393112624,12.903538591513756
20.0,331.6608027103739,140.9907610676531,162.03337689434815,10.882906398007222,4.568967605899532,0.067164596619518,12.955248893206509
21.0,1335.5839480657107,322.08229785913113,137.76747250505178,22.143545834346902,6.46108793371691,0.16073130639407587,14.545199773721361
22.0,87.28015128142812,93.26063694068804,63.007342596119656,14.109416093793516,2.851587792959081,0.22393288642937392,6.609815482138326
23.0,188.57592961361374,94.88334101542213,161.3430617553122,11.166660690268698,5.089394650889891,0.06921066557670576,8.49702016092503
24.0,182.73135200903462,494.8627004692513,280.67717364119636,39.72450740734311,7.7430253436285685,0.14153095134884366,12.457365308393365
25.0,193.47304797654422,216.1780184793607,141.45243416363812,18.879113463860755,5.25012712393116,0.13346616179132417,11.450644591610637
26.0,302.35303098264905,160.8862567985944,82.04692111696099,9.15125458955934,3.1409291632378364,0.11153684336934326,17.580786899115385
27.0,461.2387842264963,511.13625606007207,866.841519499415,49.17317140032344,20.652695838274546,0.05672682986933995,10.394616444379059
28.0,283.1735742693625,313.95477449028107,58.718475463168865,31.22168108380666,4.176663867046667,0.5317181830340681,10.055665281044584
29.0,191.2026968342249,133.1079682172298,140.9155893417714,27.664472923117494,4.500678134452541,0.1963194636756698,4.811512895515883
30.0,235.62658146778213,671.8333976060994,894.8501505265707,41.90828583607454,14.811693815232392,0.04683274156171711,16.031039786117596
31.0,214.01811287205257,178.9952742965557,152.58897834926188,19.63455360838398,4.2102715570031055,0.12867609325912338,9.116340400024399
32.0,279.1420162639906,134.7281768073886,49.20207649776398,12.071840693254495,2.3459609377598802,0.24535226056573256,11.160533031443334
33.0,537.138367993133,239.42706535420257,332.84274178018893,26.541417063710007,9.136678634738747,0.07974161287626363,9.020884784692615
