Time,MV1,MV2,MV3,MV4
1699457307.9230893,486.05799674987793,566.3454532623291,27175.456285476685,586.2116813659668
1699457307.9731617,168.7943935394287,222.0630645751953,27175.42052268982,243.21675300598145
1699457307.9731736,-113.850832,-77.46219635,27175.34899711609,-57.23834038
1699457307.9731956,-316.3993359,-296.0085869,27175.37284,-276.9708633
1699457307.9732106,-506.9792271,-501.3585091,27175.42052268982,-480.4849625
1699457307.9732223,-766.068697,-780.1651955,27175.42052268982,-759.0889931
1699457307.9732337,-960.3202343,-982.4991226,27175.402641296387,-962.1620178
1699457307.973246,-984.7462177,-1005.786657,27175.337076187134,-988.2986546
1699457307.9732575,-948.8880634,-966.1495686,27175.307273864746,-948.5304356
1699457307.9732687,-911.8318558,-926.7568588,27175.283432006836,-906.4853191
1699457307.9732804,-804.4183254,-805.9561253,27175.211906433105,-785.4044437
1699457307.973292,-487.2024059,-462.2757435,27175.17614364624,-442.2724247
1699457307.9733052,-116.9979572,-66.48302078,27175.205945968628,-45.83597183
1699457308.023114,194.62108612060547,264.4002437591553,27175.205945968628,286.8354320526123
1699457308.0231533,435.1079464,523.5135555267334,27175.158262252808,545.0427532196045
1699457308.0231695,766.5276527404785,879.8837661743164,27175.10461807251,899.5056152
1699457308.0231812,1048.111915588379,1175.9817600250244,27175.10461807251,1195.5678462982178
1699457308.0231931,1186.9370937347412,1319.1401958465576,27175.110578536987,1340.10911
1699457308.0232055,1113.3074760437012,1236.0095977783203,27175.122499465942,1257.0619583129883
1699457308.0232208,1050.955057144165,1169.8544025421143,27175.146341323853,1188.0159378051758
1699457308.0232325,909.3046188354492,1013.9822959899902,27175.140380859375,1028.9967060089111
1699457308.0232465,654.2682647705078,737.8399372,27175.134420394897,752.7291774749756
1699457308.0232584,247.96724319458008,301.21803283691406,27175.170183181763,315.7496452331543
1699457308.0232697,-75.7753849,-40.82322121,27175.194025039673,-27.54926682
1699457308.023281,-341.963768,-326.5142441,27175.241708755493,-314.5217896
1699457308,-582.5400352,-583.3268166,27175.307273864746,-569.3078041
1699457308.0517647,-871.9861507,-892.7583694,27175.313234329224,-876.9273758
1699457308.051788,-970.3636169,-988.4476662,27175.283432006836,-972.6524353
1699457308,-865.405798,-873.8100529,27175.30131340027,-858.1638336
1699457308.0518136,-702.97122,-699.4962692,27175.39072036743,-681.4241409
1699457308.051825,-641.4294243,-637.1855736,27175.456285476685,-617.6710129
1699457308.0518427,-603.7414074,-594.6576595,27175.44436454773,-577.1934986
1699457308.0518537,-513.3450031,-498.1517792,27175.450325012207,-484.2460155
1699457308.0518732,-468.3077335,-450.7362843,27175.49204826355,-437.5576973
1699457308.0518844,-499.2425442,-484.0016365,27175.51589012146,-470.5190659
1699457308.051896,-479.888916,-456.315279,27175.498008728027,-443.5479641
1699457308.1031213,-243.0915833,-197.4284649,27175.402641296387,-186.6161823
1699457308.1031396,64.03326988220215,132.5845718383789,27175.34303665161,143.31340789794922
1699457308.103151,325.4532814025879,410.05611419677734,27175.289392471313,422.5611686706543
1699457308.1031623,499.71938133239746,597.0299243927002,27175.25362968445,608.2653999328613
1699457308.1031735,737.8637790679932,851.6192436218262,27175.22382736206,860.3394031524658
1699457308.1031847,899.3864059448242,1018.1009769439698,27175.217866897583,1026.308536529541
1699457308.1031964,923.7766265869141,1038.2890701293945,27175.211906433105,1048.1774806976318
1699457308.103208,781.1188697814941,883.5434913635254,27175.241708755493,893.1219577789307
1699457308.1032484,708.0674171447754,808.6621761322021,27175.25362968445,816.5895938873291
1699457308,635.0100040435791,728.5118103027344,27175.265550613403,735.2054119110107
1699457308.1032712,517.9047584533691,603.1870842,27175.25362968445,611.7641925811768
1699457308.103286,302.95252799987793,373.7151622772217,27175.241708755493,383.04924964904785
1699457308.1541991,211.00640296936035,282.5021743774414,27175.19998550415,290.5011177062988
1699457308.154225,210.77394485473633,283.5094928741455,27175.10461807251,289.80374336242676
1699457308.1542473,203.86576652526855,276.0648727416992,27175.062894821167,283.2770347595215
1699457308.154268,94.10977363586426,157.4695110321045,27175.116539001465,164.4730567932129
1699457308.1542828,38.58208656311035,101.38750076293945,27175.122499465942,106.14991188049316
1699457308.1542974,39.29138184,98.43111038208008,27175.140380859375,100.83913803100586
1699457308.154312,-21.88682556,27.52542495727539,27175.146341323853,30.45201301574707
1699457308.1543279,-237.3099327,-210.0884914,27175.10461807251,-206.4526081
1699457308.1543424,-447.9169846,-434.7026348,27175.10461807251,-431.3528538
1699457308.1543567,-542.7777767,-537.1689796,27175.158262252808,-535.6729031
1699457308.1543715,-619.6320057,-621.1638451,27175.194025039673,-618.2789803
1699457308.206867,-744.5156574,-756.8478584,27175.122499465942,-751.6503334
1699457308.206885,-844.2640305,-858.9506149,27175.10461807251,-853.228569
1699457308.2068963,-777.477026,-784.3017578,27175.164222717285,-779.2234421
1699457308.2069087,-690.0250912,-692.7967072,27175.12845993042,-686.5739822
1699457308.2069206,-652.6887417,-655.579567,27175.068855285645,-646.3825703
1699457308.2069316,-638.1034851,-636.8339062,27175.134420394897,-627.5415421
1699457308.2069452,-448.6858845,-429.4991493,27175.22382736206,-421.5061665
1699457308.2069564,-193.2919025,-155.4787159,27175.229787826538,-146.907568
1699457308.2069676,50.002336502075195,105.1485538482666,27175.164222717285,115.74029922485352
1699457308.2069788,228.7149429321289,298.9172935,27175.15230178833,309.44347381591797
1699457308.2069902,524.7592926025391,620.3532218933105,27175.182104110718,628.7693977355957
