# pipeline_state=no_reference
time_sec,Delta,Theta,Alpha,Beta,Gamma,beta_alpha_ratio,theta_beta_ratio
1.0,2234.133778481474,1202.4034054857814,533.0266274384192,53.59483937475623,19.28642328133305,0.10054814640746643,22.435059410815715
2.0,563477.2502129689,139961.5659857577,22969.55335470028,3676.0764864353214,1898.146545058447,0.16004126983527445,38.07362727685733
3.0,828484.6371667511,68108.83193167034,19399.26463896667,7132.78469918428,1564.1028422933662,0.3676832515010331,9.548701496550066
4.0,85609.36463003741,1327.4336282463905,669.7584033612484,717.4743008566714,135.50758862951201,1.0712434472728616,1.8501479797414646
5.0,46251.853729652845,10338.24286049204,4805.559372551936,1069.6896876575072,250.58332566790457,0.22259420906695845,9.66471209340305
6.0,54787.64495434783,9890.315235960641,3105.0983828798317,854.1458241929605,192.6188144778777,0.27507850601525247,11.57918818523231
7.0,39579.84682053864,9288.6138532752,2119.915493757694,844.6284688197675,106.4445586319173,0.39842553691732596,10.99727773355135
8.0,5498.310817135898,526.5452836990147,175.9747427413755,65.81914953338826,14.62749581990308,0.37402611595301816,7.999879783191557
9.0,494.1597673971778,824.4868406862144,723.2910812203249,104.84270548964824,16.87089383302837,0.1449522995814622,7.864036289750468
10.0,1405.2132222057098,720.0232038362703,496.94181588492955,91.94268422680317,25.642022859289508,0.18501700055785436,7.831218001642473
11.0,203.91594338112634,335.9409484671684,667.8828345238837,55.7871972238375,17.240289352761085,0.08352841896828617,6.021828756143767
12.0,466.33312246529607,329.67301249266484,336.46680696129545,50.5749671854309,11.974283562305875,0.15031190637253158,6.518501757676543
13.0,840.7992511473026,614.862484090853,449.89744805496946,71.27689007132443,11.001881935163603,0.1584291939851494,8.626393259801043
14.0,21623.667889457985,3099.200258041825,1906.873675514343,391.47413811915425,82.90796717464384,0.20529631466728468,7.91674329479847
15.0,85440.2869296728,7271.899468608682,1101.2510137072436,355.06257026056664,150.03816386135478,0.32241747416448363,20.480614059860258
16.0,283193.6445443249,41015.824101061735,18413.223303013034,4817.857120819939,1019.0646631448423,0.26165202265437,8.513291920554371
17.0,260950.6338977633,34888.026731273785,8033.8304015122585,2734.7163398396174,664.9561515268327,0.3404000586475966,12.757457226192557
18.0,56641.50469102443,11809.346808206432,2592.3231272000057,801.6430146973877,177.90417194696124,0.3092373039017132,14.731428568194215
19.0,7654.545264099157,1335.6470664751107,967.5678487991729,220.9902322113689,56.33243089912029,0.22839765964281986,6.043919014473066
20.0,4732.467699158269,699.0322680862645,227.3666007177763,59.013711946612844,14.204977295525063,0.25955312592224083,11.845251637765962
21.0,5695.470655783959,611.2085992986138,198.22375152329772,76.69696053093172,14.376914462809069,0.3869211431099231,7.969137173983768
22.0,10696.27530823055,973.5212980673327,832.0073969966697,112.39523456062246,32.246156671744465,0.13508922512749288,8.661588739709831
23.0,3135.2105190815073,2588.6645068524385,1120.06398002894,187.8295152649327,40.98080126554311,0.16769534474278835,13.781990030699589
24.0,182.20182294946665,27.725487667876006,8.131527000908388,2.0643362469050963,0.3822315337721915,0.25386821524105935,13.430703311751047
25.0,4141.683469192908,1548.3606974246554,368.28490278310176,166.77650548111902,32.27911900736434,0.4528464355198959,9.284045693114415
26.0,5122.480537675617,967.7482323339448,558.4131174499405,123.93449018116593,27.773193293083388,0.22194050660401285,7.808546522596754
27.0,4179.943147864786,747.9671945736966,775.3809265030487,76.04023494145072,28.998382506050948,0.0980682298755923,9.836466117570712
28.0,5721.901315806146,2063.2440712488205,643.3726862546844,189.35718706300656,35.78895396223897,0.2943195928402344,10.896043098497753
29.0,3961.5960442458054,2533.047847128163,1646.1396736050242,189.227045672281,39.75319243936192,0.11495199873159989,13.386288614974754
30.0,8942.388328325791,601.5947647659996,555.9973051970804,101.45938128142515,22.05453451861848,0.18248178603214912,5.92941487684922
31.0,20660.849893514096,9387.544136973427,2836.1189872755226,573.3366041510064,127.3262525960496,0.20215534211481517,16.37353008513114
32.0,177666.31670786126,46933.712494414896,11532.360342691323,4104.067302510302,827.3529054688737,0.3558740084904883,11.43590224890009
33.0,55455.44207525539,12961.096529749771,3248.7168390412858,872.4217530168817,188.0914920720753,0.26854348847292525,14.856457309700954
34.0,88303.48849438573,25964.13614000316,1869.5365832037885,1170.3534349532417,227.70271780369265,0.6260125880755057,22.184867719929823
35.0,5953.099344353413,3673.287745142662,494.5760531681987,260.1704840746745,49.361879335284335,0.5260474752225701,14.118771997550459
36.0,4468.53832136544,1264.2467902783792,489.6785639880206,100.29061840127588,21.6651672503641,0.20480908452371907,12.605833032357648
37.0,95739.5777293369,3103.3944136429327,1478.534439826231,528.4186563004381,123.65140785502948,0.3573935392147795,5.872984189033751
38.0,80169.60884462735,10352.80588656219,3006.5150269325286,1056.069359165549,204.2003939105063,0.351260296291627,9.803149572242525
39.0,15972.616916591449,3721.3620408410834,1101.011305279099,392.87235799946916,95.99025141019271,0.3568286321091668,9.472191069360273
40.0,7748.423569776799,3526.8965202949603,2670.2407104409876,215.54245950577456,72.80562784903543,0.08072023569372438,16.36288519849831
41.0,18594.547562615266,2945.8347121684305,1203.112747533394,290.8904484067659,69.25273697219052,0.24178153627176316,10.126955794880999
42.0,49296.5400285151,18306.371254027355,7867.419975869666,1868.3990238940492,470.6071992220031,0.2374856089575307,9.797891681549846
